Count_C1DNANuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensity,FileName_C1illum,FileName_C2illum,FileName_C3illum,FileName_raw,ImageNumber,Metadata_XY,Metadata_basename,Scaling_raw,Threshold_FinalThreshold_C1DNANuclei
9.0,0,0.0,0.970000000000006,0,0.36000000000001364,0.3499999999999943,2.010000000000005,0.8599999999999994,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0048.tif,48,48,Atr+C Day2,65535,0.01
17.0,0,0.0,1.0,0,0.3199999999999932,0.3400000000000034,1.9499999999999957,0.8700000000000045,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0049.tif,49,49,Atr+C Day2,65535,0.01
11.0,0,0.0,1.0300000000000082,0,0.3500000000000085,0.35999999999999943,1.8800000000000026,0.8599999999999994,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0050.tif,50,50,Atr+C Day2,65535,0.01
11.0,0,0.0,1.0499999999999972,0,0.3499999999999943,0.3500000000000085,1.8700000000000045,0.8700000000000045,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0051.tif,51,51,Atr+C Day2,65535,0.01
10.0,0,0.0,1.0499999999999972,0,0.3400000000000034,0.35999999999999943,1.8599999999999994,0.8599999999999994,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0052.tif,52,52,Atr+C Day2,65535,0.01
12.0,0,0.0,1.0,0,0.3399999999999892,0.3499999999999943,1.8900000000000006,0.8700000000000045,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0053.tif,53,53,Atr+C Day2,65535,0.01
16.0,0,0.0,0.960000000000008,0,0.2600000000000051,0.36999999999999034,1.8700000000000045,0.7900000000000063,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0054.tif,54,54,Atr+C Day2,65535,0.01
13.0,0,0.0,1.0400000000000063,0,0.3299999999999983,0.3400000000000034,1.8799999999999955,0.8400000000000034,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0055.tif,55,55,Atr+C Day2,65535,0.01
1.0,0,0.0,1.0300000000000011,0,0.4200000000000017,0.45000000000000284,2.1199999999999903,0.9100000000000108,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0056.tif,56,56,Atr+C Day2,65535,0.01
8.0,0,0.0,0.9900000000000091,0,0.3900000000000148,0.4300000000000068,2.0600000000000023,0.8700000000000045,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0057.tif,57,57,Atr+C Day2,65535,0.01
