ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,72,149.16267942583733,608.8157894736842,0,72
1,73,1160.3620567375885,607.1560283687943,0,73
1,74,632.052315093205,627.9043896572459,0,74
1,75,425.487597448618,626.9858256555634,0,75
1,76,490.69783197831975,634.2256097560976,0,76
1,77,795.5461647727273,640.5696022727273,0,77
1,78,539.4711830131446,653.7593528816986,0,78
1,79,579.7622857142857,662.3062857142858,0,79
1,80,1083.8974550898204,664.0254491017964,0,80
1,81,364.6875416389074,668.0359760159894,0,81
1,82,142.93374558303887,689.3012367491166,0,82
1,83,892.315300546448,706.0021857923497,0,83
1,84,468.0432473444613,710.7807283763277,0,84
1,85,942.7225400457666,714.0406178489702,0,85
1,86,1199.9326298701299,722.112012987013,0,86
1,87,478.04742268041235,748.5711340206185,0,87
1,88,643.6235813366961,783.2005044136191,0,88
1,89,269.73064735174285,792.5667722951562,0,89
1,90,324.421560035057,789.0192813321647,0,90
1,91,888.301465457083,807.840893230984,0,91
1,92,990.0183299389003,804.8180583842499,0,92
1,93,525.8582308142941,817.2583479789104,0,93
1,94,397.642061281337,825.6406685236769,0,94
1,95,793.7086553323029,830.7055641421947,0,95
1,96,1129.773212818406,835.2539030402629,0,96
1,97,749.0969316596932,870.255230125523,0,97
1,98,615.2854152128402,870.1367759944173,0,98
2,1,415.1848888888889,32.25333333333333,0,1
2,2,1098.9581430745814,34.24809741248097,0,2
2,3,551.6829052258636,44.60230292294066,0,3
2,4,1129.1938857602574,46.76427996781979,0,4
2,5,123.47349823321555,52.03651354534747,0,5
2,6,40.10851926977688,80.68356997971603,0,6
2,7,1012.0642965204236,80.5642965204236,0,7
2,8,591.0907111756169,85.6944847605225,0,8
2,9,568.3202702702703,117.16756756756757,0,9
2,10,892.5821276595744,116.15063829787233,0,10
2,11,654.1444622792937,127.01819154628143,0,11
2,12,858.0061213132999,135.99944351697272,0,12
2,13,517.3051409618574,142.52238805970148,0,13
2,14,941.5758754863813,148.52295719844358,0,14
2,15,273.02251270878725,157.51416122004358,0,15
2,16,370.1986353297953,176.07808946171343,0,16
2,17,519.2921511627907,184.56589147286823,0,17
2,18,1173.941569282137,180.2170283806344,0,18
2,19,260.7093655589124,191.21993957703927,0,19
2,20,1088.8607843137254,207.3986928104575,0,20
2,21,459.32254525507403,200.79758639605046,0,21
2,22,873.1484375,214.3810096153846,0,22
2,23,494.7908587257618,233.81255771006462,0,23
2,24,733.9075862068966,238.16620689655173,0,24
2,25,1037.1566535654126,247.87647389107244,0,25
